application_id,customer_id,decision,reject_reasons,approve_amount,approve_apr,approve_term,decided_at,decision_ver,is_test_data
AP20250506000029,C00008717,REJECT,R008,\N,\N,\N,2025-05-06 20:54:57,v1,1
AP20250603000023,C00000515,REJECT,R006,\N,\N,\N,2025-06-03 18:55:03,v1,1
AP20250514000028,C00006585,APPROVE,\N,8399.90,0.23,18,2025-05-14 21:18:04,v1,1
AP20250125000022,C00009986,REJECT,"R008,R006",\N,\N,\N,2025-01-25 20:52:57,v1,1
AP20250308000028,C00003823,REJECT,R006,\N,\N,\N,2025-03-08 22:38:27,v1,1
AP20250220000035,C00005291,APPROVE,\N,10000.00,0.19,18,2025-02-20 21:10:38,v1,1
AP20250512000028,C00006162,APPROVE,\N,25869.05,0.20,24,2025-05-12 22:20:08,v1,1
AP20250212000037,C00007190,REJECT,"R009,R006",\N,\N,\N,2025-02-12 22:14:07,v1,1
AP20250305000036,C00007293,REJECT,"R009,R006,R008,R006",\N,\N,\N,2025-03-05 19:39:55,v1,1
AP20250606000025,C00004149,REJECT,"R009,R006,R006",\N,\N,\N,2025-06-06 16:17:18,v1,1
AP20250409000020,C00002489,REJECT,R006,\N,\N,\N,2025-04-09 07:01:52,v1,1
AP20250428000019,C00000599,APPROVE,\N,22228.28,0.21,3,2025-04-28 17:13:16,v1,1
AP20250205000031,C00005108,APPROVE,\N,42474.15,0.17,24,2025-02-05 20:00:32,v1,1
AP20250303000024,C00003247,REJECT,"R009,R006",\N,\N,\N,2025-03-03 22:59:30,v1,1
AP20250606000026,C00000777,REJECT,"R009,R008",\N,\N,\N,2025-06-06 15:23:21,v1,1
AP20250314000022,C00004373,APPROVE,\N,46708.45,0.18,24,2025-03-14 21:40:04,v1,1
AP20250614000018,C00000646,APPROVE,\N,40385.92,0.13,24,2025-06-14 12:42:25,v1,1
AP20250305000037,C00006276,REJECT,R006,\N,\N,\N,2025-03-05 17:20:38,v1,1
AP20250124000029,C00004141,REJECT,R009,\N,\N,\N,2025-01-24 23:04:23,v1,1
AP20250505000020,C00003362,APPROVE,\N,29100.33,0.20,36,2025-05-05 15:44:08,v1,1
AP20250212000038,C00005345,REJECT,R008,\N,\N,\N,2025-02-12 12:48:06,v1,1
AP20250220000036,C00000036,REJECT,R004,\N,\N,\N,2025-02-20 11:51:30,v1,1
AP20250619000017,C00000676,APPROVE,\N,54170.51,0.15,18,2025-06-19 12:35:11,v1,1
AP20250119000016,C00006725,REJECT,R009,\N,\N,\N,2025-01-19 12:16:46,v1,1
AP20250330000017,C00000414,REJECT,R006,\N,\N,\N,2025-03-30 17:03:16,v1,1
AP20250213000045,C00005380,APPROVE,\N,30000.00,0.17,12,2025-02-13 13:37:13,v1,1
AP20250228000039,C00006338,REJECT,R006,\N,\N,\N,2025-02-28 16:21:11,v1,1
AP20250122000019,C00006604,REJECT,R006,\N,\N,\N,2025-01-22 18:36:47,v1,1
AP20250220000037,C00001823,REJECT,R006,\N,\N,\N,2025-02-20 13:00:07,v1,1
AP20250128000022,C00000815,APPROVE,\N,4264.27,0.24,6,2025-01-28 21:10:27,v1,1
AP20250417000023,C00006480,REJECT,R006,\N,\N,\N,2025-04-17 21:11:10,v1,1
AP20250607000028,C00008122,REJECT,R006,\N,\N,\N,2025-06-07 12:08:34,v1,1
AP20250302000045,C00000613,REJECT,R006,\N,\N,\N,2025-03-02 21:54:54,v1,1
AP20250426000018,C00005254,APPROVE,\N,28187.78,0.21,6,2025-04-26 22:04:55,v1,1
AP20250212000039,C00009060,APPROVE,\N,48042.98,0.15,12,2025-02-12 11:23:39,v1,1
AP20250214000036,C00009113,APPROVE,\N,92565.07,0.11,18,2025-02-14 20:47:28,v1,1
AP20250302000046,C00000674,APPROVE,\N,20000.00,0.15,36,2025-03-02 20:56:18,v1,1
AP20250602000028,C00003358,APPROVE,\N,30000.00,0.16,12,2025-06-02 10:45:11,v1,1
AP20250412000022,C00007576,REJECT,R007,\N,\N,\N,2025-04-12 09:18:05,v1,1
AP20250306000035,C00001104,APPROVE,\N,42884.92,0.15,3,2025-03-06 13:47:25,v1,1
AP20250425000020,C00005648,APPROVE,\N,15000.00,0.15,24,2025-04-25 12:52:36,v1,1
AP20250316000019,C00001406,REJECT,R006,\N,\N,\N,2025-03-16 12:46:54,v1,1
AP20250607000029,C00001870,APPROVE,\N,20000.00,0.16,3,2025-06-07 20:41:05,v1,1
AP20250222000039,C00009217,REJECT,R007,\N,\N,\N,2025-02-22 11:15:25,v1,1
AP20250224000038,C00005008,REJECT,R004,\N,\N,\N,2025-02-24 12:47:48,v1,1
AP20250201000023,C00003558,APPROVE,\N,1000.00,0.18,18,2025-02-01 20:41:34,v1,1
AP20250529000024,C00003580,APPROVE,\N,10000.00,0.11,12,2025-05-29 11:49:05,v1,1
AP20250521000025,C00007843,REJECT,R006,\N,\N,\N,2025-05-21 12:21:30,v1,1
AP20250606000027,C00008223,REJECT,R007,\N,\N,\N,2025-06-06 13:58:11,v1,1
AP20250328000012,C00004338,APPROVE,\N,20000.00,0.15,6,2025-03-29 00:07:22,v1,1
AP20250612000023,C00002151,APPROVE,\N,30000.00,0.11,6,2025-06-12 23:09:53,v1,1
AP20250201000024,C00001457,REJECT,R006,\N,\N,\N,2025-02-01 22:28:11,v1,1
AP20250527000020,C00001094,APPROVE,\N,50000.00,0.13,12,2025-05-27 02:38:39,v1,1
AP20250614000019,C00005675,APPROVE,\N,22400.12,0.22,6,2025-06-14 13:16:47,v1,1
AP20250304000027,C00006838,REJECT,"R007,R004",\N,\N,\N,2025-03-04 13:43:16,v1,1
AP20250328000013,C00001423,REJECT,R009,\N,\N,\N,2025-03-28 00:30:47,v1,1
AP20250212000040,C00003997,REJECT,R006,\N,\N,\N,2025-02-12 20:57:29,v1,1
AP20250601000018,C00000889,REJECT,R004,\N,\N,\N,2025-06-01 21:58:47,v1,1
AP20250505000021,C00000989,REJECT,"R009,R006,R006",\N,\N,\N,2025-05-05 12:47:54,v1,1
AP20250314000023,C00004366,REJECT,"R006,R006,R004",\N,\N,\N,2025-03-14 12:56:54,v1,1
AP20250213000046,C00001508,REJECT,"R009,R006,R008",\N,\N,\N,2025-02-13 12:17:35,v1,1
AP20250613000026,C00006946,APPROVE,\N,30000.00,0.17,12,2025-06-13 13:04:01,v1,1
AP20250511000021,C00002013,REJECT,R006,\N,\N,\N,2025-05-11 20:59:25,v1,1
AP20250628000019,C00000159,REJECT,R007,\N,\N,\N,2025-06-28 13:07:13,v1,1
AP20250411000023,C00003209,REJECT,"R006,R006",\N,\N,\N,2025-04-11 15:58:23,v1,1
AP20250109000009,C00008230,APPROVE,\N,7362.61,0.23,24,2025-01-09 19:33:41,v1,1
AP20250212000041,C00009060,APPROVE,\N,25759.83,0.21,6,2025-02-12 22:00:59,v1,1
AP20250529000025,C00004840,REJECT,R009,\N,\N,\N,2025-05-29 20:38:22,v1,1
AP20250421000013,C00000390,APPROVE,\N,4487.01,0.24,36,2025-04-21 20:28:45,v1,1
AP20250425000021,C00005985,REJECT,R006,\N,\N,\N,2025-04-25 12:18:49,v1,1
AP20250323000021,C00008079,REJECT,"R008,R006",\N,\N,\N,2025-03-23 20:27:20,v1,1
AP20250615000023,C00007518,APPROVE,\N,27334.54,0.21,6,2025-06-15 12:56:58,v1,1
AP20250216000035,C00003582,REJECT,R007,\N,\N,\N,2025-02-16 19:53:06,v1,1
AP20250412000023,C00003260,APPROVE,\N,8000.00,0.21,18,2025-04-12 22:29:30,v1,1
AP20250315000022,C00003245,REJECT,"R006,R006",\N,\N,\N,2025-03-15 15:27:53,v1,1
AP20250405000016,C00002992,REJECT,"R009,R006",\N,\N,\N,2025-04-05 01:54:04,v1,1
AP20250414000016,C00002640,REJECT,R006,\N,\N,\N,2025-04-14 14:00:04,v1,1
AP20250601000019,C00007833,APPROVE,\N,8000.00,0.12,6,2025-06-01 20:53:46,v1,1
AP20250226000032,C00008649,REJECT,R006,\N,\N,\N,2025-02-26 12:05:53,v1,1
AP20250413000025,C00002482,APPROVE,\N,37178.75,0.10,12,2025-04-13 12:41:05,v1,1
AP20250217000039,C00001474,REJECT,R008,\N,\N,\N,2025-02-17 20:19:37,v1,1
AP20250611000026,C00008992,APPROVE,\N,2000.00,0.17,18,2025-06-11 23:13:06,v1,1
AP20250303000025,C00008342,APPROVE,\N,30000.00,0.13,18,2025-03-03 20:30:34,v1,1
AP20250511000022,C00004095,APPROVE,\N,8000.00,0.14,6,2025-05-11 13:07:14,v1,1
AP20250529000026,C00009413,APPROVE,\N,1000.00,0.17,12,2025-05-29 22:31:14,v1,1
AP20250303000026,C00008719,APPROVE,\N,5000.00,0.18,3,2025-03-03 01:41:58,v1,1
AP20250507000037,C00009063,APPROVE,\N,8000.00,0.20,6,2025-05-07 19:57:29,v1,1
AP20250623000022,C00004393,APPROVE,\N,1000.00,0.15,36,2025-06-23 13:44:58,v1,1
AP20250221000043,C00002290,APPROVE,\N,22209.08,0.19,6,2025-02-21 14:05:45,v1,1
AP20250614000020,C00006395,REJECT,R006,\N,\N,\N,2025-06-14 20:36:00,v1,1
AP20250227000044,C00006199,REJECT,"R009,R006",\N,\N,\N,2025-02-27 14:35:22,v1,1
AP20250601000020,C00006816,REJECT,R006,\N,\N,\N,2025-06-01 01:54:03,v1,1
AP20250228000040,C00006573,REJECT,R009,\N,\N,\N,2025-02-28 13:10:10,v1,1
AP20250429000025,C00008639,REJECT,R006,\N,\N,\N,2025-04-29 13:14:06,v1,1
AP20250207000035,C00003546,APPROVE,\N,10000.00,0.21,3,2025-02-07 11:45:48,v1,1
AP20250304000028,C00006117,APPROVE,\N,8000.00,0.16,18,2025-03-04 20:57:41,v1,1
AP20250518000026,C00006827,REJECT,R004,\N,\N,\N,2025-05-18 12:53:21,v1,1
AP20250320000023,C00004144,APPROVE,\N,54304.00,0.15,12,2025-03-20 21:16:17,v1,1
AP20250512000029,C00008550,APPROVE,\N,5000.00,0.16,24,2025-05-12 19:20:26,v1,1
AP20250327000018,C00001695,REJECT,R006,\N,\N,\N,2025-03-27 10:22:53,v1,1
AP20250520000034,C00005375,REJECT,"R009,R006",\N,\N,\N,2025-05-20 16:21:19,v1,1
AP20250413000026,C00000486,REJECT,R008,\N,\N,\N,2025-04-13 13:51:31,v1,1
AP20250107000007,C00003340,REJECT,R006,\N,\N,\N,2025-01-07 13:11:04,v1,1
AP20250119000017,C00001800,APPROVE,\N,10000.00,0.19,3,2025-01-19 15:15:20,v1,1
AP20250304000029,C00000484,APPROVE,\N,25989.99,0.20,12,2025-03-04 20:21:00,v1,1
AP20250513000020,C00005259,APPROVE,\N,20000.00,0.14,24,2025-05-13 21:35:56,v1,1
AP20250424000025,C00007234,APPROVE,\N,8000.00,0.21,12,2025-04-24 21:04:13,v1,1
AP20250528000018,C00009890,APPROVE,\N,8000.00,0.16,18,2025-05-28 01:49:53,v1,1
AP20250226000033,C00007150,REJECT,"R006,R004",\N,\N,\N,2025-02-26 11:32:39,v1,1
AP20250218000047,C00007917,REJECT,"R006,R004",\N,\N,\N,2025-02-18 21:06:33,v1,1
AP20250531000025,C00007688,REJECT,R006,\N,\N,\N,2025-05-31 14:18:24,v1,1
AP20250210000035,C00003562,APPROVE,\N,46383.30,0.11,36,2025-02-10 13:47:05,v1,1
AP20250530000018,C00001883,APPROVE,\N,7684.26,0.24,24,2025-05-30 22:29:55,v1,1
AP20250426000019,C00009230,APPROVE,\N,26769.21,0.21,3,2025-04-26 22:41:33,v1,1
AP20250522000025,C00006246,REJECT,R009,\N,\N,\N,2025-05-22 22:18:49,v1,1
AP20250216000036,C00001386,APPROVE,\N,7392.12,0.24,18,2025-02-16 11:02:08,v1,1
AP20250506000030,C00009199,REJECT,R004,\N,\N,\N,2025-05-06 17:55:16,v1,1
AP20250209000034,C00002491,APPROVE,\N,27285.99,0.22,3,2025-02-09 13:05:55,v1,1
AP20250326000025,C00008863,REJECT,R006,\N,\N,\N,2025-03-26 22:42:05,v1,1
AP20250115000018,C00002216,APPROVE,\N,8000.00,0.18,6,2025-01-15 12:54:24,v1,1
AP20250607000030,C00006281,REJECT,R008,\N,\N,\N,2025-06-07 21:31:01,v1,1
AP20250220000038,C00006298,APPROVE,\N,20000.00,0.12,18,2025-02-20 12:47:48,v1,1
AP20250315000023,C00003343,APPROVE,\N,27246.29,0.21,36,2025-03-15 06:14:59,v1,1
AP20250208000043,C00005855,APPROVE,\N,4759.13,0.24,18,2025-02-08 13:36:19,v1,1
AP20250324000018,C00007374,REJECT,R006,\N,\N,\N,2025-03-24 22:22:06,v1,1
AP20250606000028,C00009432,APPROVE,\N,8423.18,0.24,6,2025-06-06 21:47:22,v1,1
AP20250223000039,C00007879,REJECT,"R009,R006",\N,\N,\N,2025-02-23 12:53:42,v1,1
AP20250515000029,C00002219,REJECT,R004,\N,\N,\N,2025-05-15 20:45:03,v1,1
AP20250412000024,C00004315,APPROVE,\N,15000.00,0.11,3,2025-04-12 21:43:51,v1,1
AP20250203000053,C00005666,REJECT,R006,\N,\N,\N,2025-02-03 13:09:06,v1,1
AP20250115000019,C00006721,APPROVE,\N,30000.00,0.16,6,2025-01-15 12:11:55,v1,1
AP20250307000026,C00007803,APPROVE,\N,15000.00,0.18,36,2025-03-07 19:50:10,v1,1
AP20250314000024,C00004708,REJECT,R008,\N,\N,\N,2025-03-14 21:38:59,v1,1
AP20250519000032,C00001921,REJECT,R006,\N,\N,\N,2025-05-19 07:47:12,v1,1
AP20250412000025,C00004162,REJECT,R008,\N,\N,\N,2025-04-12 18:36:49,v1,1
AP20250222000040,C00003544,APPROVE,\N,30000.00,0.16,36,2025-02-22 22:03:02,v1,1
AP20250303000027,C00003852,APPROVE,\N,2000.00,0.19,24,2025-03-03 12:45:27,v1,1
AP20250327000019,C00005263,REJECT,R004,\N,\N,\N,2025-03-27 22:36:22,v1,1
AP20250124000030,C00000930,REJECT,"R006,R006",\N,\N,\N,2025-01-24 01:47:40,v1,1
AP20250202000039,C00006174,APPROVE,\N,20000.00,0.12,36,2025-02-02 12:41:51,v1,1
AP20250116000020,C00004864,APPROVE,\N,5000.00,0.17,18,2025-01-16 21:46:55,v1,1
AP20250213000047,C00007320,REJECT,R009,\N,\N,\N,2025-02-13 23:07:03,v1,1
AP20250130000031,C00008109,REJECT,R006,\N,\N,\N,2025-01-30 06:42:05,v1,1
AP20250515000030,C00000540,REJECT,R008,\N,\N,\N,2025-05-15 21:14:49,v1,1
AP20250403000013,C00007301,REJECT,R009,\N,\N,\N,2025-04-03 12:48:34,v1,1
AP20250314000025,C00001030,REJECT,R008,\N,\N,\N,2025-03-14 19:43:11,v1,1
AP20250614000021,C00001792,APPROVE,\N,15000.00,0.10,6,2025-06-14 13:12:23,v1,1
AP20250307000027,C00007014,APPROVE,\N,20000.00,0.22,3,2025-03-07 20:40:15,v1,1
AP20250322000024,C00009737,REJECT,R004,\N,\N,\N,2025-03-22 08:17:24,v1,1
AP20250524000019,C00001821,REJECT,R009,\N,\N,\N,2025-05-24 20:40:10,v1,1
AP20250517000026,C00009661,REJECT,R006,\N,\N,\N,2025-05-17 22:14:16,v1,1
AP20250601000021,C00001198,APPROVE,\N,45829.85,0.14,12,2025-06-01 20:23:34,v1,1
AP20250607000031,C00003389,APPROVE,\N,58462.98,0.14,3,2025-06-07 10:32:59,v1,1
AP20250226000034,C00008843,REJECT,R006,\N,\N,\N,2025-02-26 09:18:06,v1,1
AP20250605000013,C00002619,REJECT,"R009,R006",\N,\N,\N,2025-06-05 13:03:58,v1,1
AP20250606000029,C00009304,APPROVE,\N,30000.00,0.12,6,2025-06-06 15:32:11,v1,1
AP20250220000039,C00001982,REJECT,R008,\N,\N,\N,2025-02-20 17:51:48,v1,1
AP20250403000014,C00001896,REJECT,"R006,R008,R006",\N,\N,\N,2025-04-03 20:52:51,v1,1
AP20250616000026,C00003191,REJECT,R006,\N,\N,\N,2025-06-16 12:52:02,v1,1
AP20250207000036,C00002202,REJECT,R008,\N,\N,\N,2025-02-07 13:30:41,v1,1
AP20250601000022,C00001114,REJECT,R006,\N,\N,\N,2025-06-01 09:37:55,v1,1
AP20250129000036,C00009014,REJECT,R006,\N,\N,\N,2025-01-29 12:21:24,v1,1
AP20250602000029,C00005376,REJECT,R006,\N,\N,\N,2025-06-02 21:17:06,v1,1
AP20250211000047,C00000120,REJECT,R006,\N,\N,\N,2025-02-11 07:03:19,v1,1
AP20250211000048,C00006601,REJECT,R004,\N,\N,\N,2025-02-11 07:38:19,v1,1
AP20250428000020,C00001689,APPROVE,\N,1000.00,0.17,24,2025-04-28 22:01:42,v1,1
AP20250210000036,C00008522,APPROVE,\N,15000.00,0.15,3,2025-02-10 07:29:29,v1,1
AP20250421000014,C00005220,APPROVE,\N,8431.77,0.23,18,2025-04-21 21:26:37,v1,1
AP20250221000044,C00007585,APPROVE,\N,8000.00,0.15,3,2025-02-21 21:54:29,v1,1
AP20250219000038,C00005262,REJECT,R006,\N,\N,\N,2025-02-19 23:04:24,v1,1
AP20250521000026,C00004787,REJECT,"R006,R006",\N,\N,\N,2025-05-21 22:46:56,v1,1
AP20250329000020,C00006771,APPROVE,\N,47440.62,0.13,12,2025-03-29 12:49:15,v1,1
AP20250609000019,C00006398,APPROVE,\N,29432.25,0.20,3,2025-06-09 20:11:27,v1,1
AP20250419000020,C00005036,APPROVE,\N,50000.00,0.17,18,2025-04-19 12:35:06,v1,1
AP20250625000020,C00007717,REJECT,R006,\N,\N,\N,2025-06-25 16:37:12,v1,1
AP20250130000032,C00005319,APPROVE,\N,15000.00,0.11,3,2025-01-30 17:11:44,v1,1
AP20250612000024,C00000366,REJECT,R006,\N,\N,\N,2025-06-12 00:45:41,v1,1
AP20250124000031,C00009474,APPROVE,\N,1000.00,0.22,18,2025-01-24 20:39:09,v1,1
AP20250325000016,C00003776,APPROVE,\N,28582.30,0.18,24,2025-03-25 23:35:18,v1,1
AP20250220000040,C00001764,REJECT,"R009,R007",\N,\N,\N,2025-02-20 15:44:10,v1,1
AP20250221000045,C00001841,REJECT,R004,\N,\N,\N,2025-02-21 12:50:02,v1,1
AP20250207000037,C00004381,REJECT,"R006,R008,R004",\N,\N,\N,2025-02-07 22:57:28,v1,1
AP20250609000020,C00002311,REJECT,R006,\N,\N,\N,2025-06-09 22:18:55,v1,1
AP20250506000031,C00005697,REJECT,R006,\N,\N,\N,2025-05-06 13:44:49,v1,1
AP20250316000020,C00003812,APPROVE,\N,1000.00,0.15,3,2025-03-16 19:15:53,v1,1
AP20250121000018,C00002100,REJECT,R007,\N,\N,\N,2025-01-21 12:15:11,v1,1
AP20250307000028,C00009729,APPROVE,\N,8000.00,0.17,18,2025-03-07 11:58:41,v1,1
AP20250201000025,C00004408,APPROVE,\N,7624.06,0.24,6,2025-02-01 23:30:01,v1,1
AP20250425000022,C00003431,REJECT,R006,\N,\N,\N,2025-04-25 14:41:43,v1,1
AP20250313000021,C00003055,APPROVE,\N,8000.00,0.14,6,2025-03-13 22:58:36,v1,1
AP20250123000026,C00004103,REJECT,R006,\N,\N,\N,2025-01-23 10:59:57,v1,1
AP20250228000041,C00009722,APPROVE,\N,51756.15,0.15,24,2025-02-28 21:49:46,v1,1
AP20250506000032,C00003599,APPROVE,\N,30000.00,0.17,36,2025-05-06 22:24:22,v1,1
AP20250228000042,C00009541,REJECT,R004,\N,\N,\N,2025-02-28 13:15:31,v1,1
AP20250422000019,C00008761,REJECT,"R009,R006,R006,R004",\N,\N,\N,2025-04-22 09:56:33,v1,1
AP20250329000021,C00006840,APPROVE,\N,15000.00,0.20,24,2025-03-29 22:08:51,v1,1
AP20250303000028,C00007718,APPROVE,\N,26658.37,0.19,3,2025-03-03 21:42:27,v1,1
AP20250208000044,C00009251,APPROVE,\N,8000.00,0.21,18,2025-02-08 21:45:31,v1,1
AP20250313000022,C00007806,REJECT,R006,\N,\N,\N,2025-03-13 21:09:03,v1,1
AP20250525000026,C00004437,REJECT,R006,\N,\N,\N,2025-05-25 13:32:30,v1,1
AP20250404000017,C00005567,APPROVE,\N,1000.00,0.24,6,2025-04-04 08:20:51,v1,1
AP20250331000021,C00004382,APPROVE,\N,7345.92,0.23,3,2025-03-31 01:29:48,v1,1
AP20250115000020,C00005289,APPROVE,\N,73468.56,0.11,12,2025-01-15 12:37:31,v1,1
AP20250129000037,C00006031,APPROVE,\N,1000.00,0.23,6,2025-01-29 11:01:22,v1,1
AP20250406000024,C00003806,REJECT,R008,\N,\N,\N,2025-04-06 18:51:43,v1,1
AP20250530000019,C00002683,REJECT,"R009,R006",\N,\N,\N,2025-05-30 23:02:17,v1,1
AP20250303000029,C00006131,REJECT,R004,\N,\N,\N,2025-03-03 15:02:09,v1,1
AP20250203000054,C00004557,REJECT,R004,\N,\N,\N,2025-02-03 06:54:07,v1,1
AP20250425000023,C00009489,APPROVE,\N,2000.00,0.21,3,2025-04-25 13:12:17,v1,1
AP20250429000026,C00006095,REJECT,R006,\N,\N,\N,2025-04-29 01:42:51,v1,1
AP20250314000026,C00005262,APPROVE,\N,8000.00,0.15,18,2025-03-14 21:59:38,v1,1
AP20250212000042,C00005720,APPROVE,\N,8000.00,0.16,3,2025-02-12 22:19:09,v1,1
AP20250307000029,C00002847,APPROVE,\N,7626.35,0.24,24,2025-03-07 23:04:11,v1,1
AP20250603000024,C00007633,REJECT,R006,\N,\N,\N,2025-06-03 13:22:34,v1,1
AP20250322000025,C00008358,REJECT,"R009,R006,R008,R006,R004",\N,\N,\N,2025-03-22 17:52:38,v1,1
AP20250604000017,C00005021,APPROVE,\N,30000.00,0.15,36,2025-06-04 23:57:00,v1,1
AP20250121000019,C00009078,REJECT,"R009,R004",\N,\N,\N,2025-01-21 13:03:35,v1,1
AP20250301000032,C00002971,REJECT,R004,\N,\N,\N,2025-03-01 10:38:33,v1,1
AP20250525000027,C00007760,APPROVE,\N,2000.00,0.13,36,2025-05-25 21:34:53,v1,1
AP20250329000022,C00007294,REJECT,R006,\N,\N,\N,2025-03-29 12:47:00,v1,1
AP20250225000041,C00005652,APPROVE,\N,44153.94,0.16,6,2025-02-25 21:00:58,v1,1
AP20250510000020,C00007781,APPROVE,\N,53862.98,0.16,6,2025-05-10 12:21:44,v1,1
AP20250506000033,C00005849,APPROVE,\N,20000.00,0.10,3,2025-05-06 12:28:37,v1,1
AP20250525000028,C00000627,APPROVE,\N,25603.68,0.21,12,2025-05-25 10:37:23,v1,1
AP20250510000021,C00006387,REJECT,"R008,R004",\N,\N,\N,2025-05-10 13:23:34,v1,1
AP20250203000055,C00008492,REJECT,R006,\N,\N,\N,2025-02-03 23:07:25,v1,1
AP20250210000037,C00009752,APPROVE,\N,1000.00,0.16,24,2025-02-10 20:16:20,v1,1
AP20250214000037,C00000888,APPROVE,\N,22916.76,0.19,6,2025-02-14 21:43:53,v1,1
AP20250201000026,C00008492,APPROVE,\N,58427.67,0.18,3,2025-02-01 11:33:11,v1,1
AP20250221000046,C00006379,REJECT,"R008,R004",\N,\N,\N,2025-02-21 10:20:00,v1,1
AP20250208000045,C00001594,APPROVE,\N,29095.81,0.22,24,2025-02-08 21:12:30,v1,1
AP20250419000021,C00002453,REJECT,"R009,R006,R008,R006",\N,\N,\N,2025-04-19 14:06:15,v1,1
AP20250212000043,C00007589,APPROVE,\N,5000.00,0.11,3,2025-02-12 23:07:40,v1,1
AP20250201000027,C00000151,APPROVE,\N,30000.00,0.16,3,2025-02-01 22:21:18,v1,1
AP20250222000041,C00003715,REJECT,R006,\N,\N,\N,2025-02-22 20:40:06,v1,1
AP20250328000014,C00009488,APPROVE,\N,26137.63,0.20,3,2025-03-28 13:59:43,v1,1
AP20250321000026,C00000936,REJECT,R006,\N,\N,\N,2025-03-21 20:51:10,v1,1
AP20250306000036,C00002370,REJECT,R009,\N,\N,\N,2025-03-06 12:18:38,v1,1
AP20250211000049,C00004017,REJECT,"R009,R006",\N,\N,\N,2025-02-11 18:42:53,v1,1
AP20250412000026,C00001623,REJECT,R006,\N,\N,\N,2025-04-12 20:35:14,v1,1
AP20250330000018,C00000361,REJECT,R006,\N,\N,\N,2025-03-30 22:32:52,v1,1
AP20250326000026,C00006842,REJECT,R006,\N,\N,\N,2025-03-26 22:05:14,v1,1
AP20250209000035,C00008663,REJECT,R008,\N,\N,\N,2025-02-09 13:43:05,v1,1
AP20250208000046,C00003728,REJECT,R009,\N,\N,\N,2025-02-08 22:50:02,v1,1
AP20250228000043,C00009915,APPROVE,\N,10000.00,0.12,6,2025-02-28 22:55:08,v1,1
AP20250216000037,C00000766,REJECT,"R009,R006",\N,\N,\N,2025-02-16 02:29:32,v1,1
AP20250503000021,C00001546,APPROVE,\N,8000.00,0.21,36,2025-05-03 13:52:43,v1,1
AP20250323000022,C00003227,REJECT,R007,\N,\N,\N,2025-03-23 17:04:56,v1,1
AP20250114000010,C00005435,APPROVE,\N,1000.00,0.19,3,2025-01-14 20:22:45,v1,1
AP20250118000016,C00001678,APPROVE,\N,39125.23,0.15,12,2025-01-18 20:47:04,v1,1
AP20250211000050,C00004362,APPROVE,\N,1000.00,0.17,6,2025-02-11 21:00:37,v1,1
AP20250503000022,C00002191,REJECT,"R008,R006",\N,\N,\N,2025-05-03 12:25:59,v1,1
AP20250601000023,C00008397,REJECT,"R006,R004",\N,\N,\N,2025-06-01 16:47:23,v1,1
AP20250209000036,C00001159,REJECT,R006,\N,\N,\N,2025-02-09 13:56:01,v1,1
AP20250208000047,C00001704,APPROVE,\N,20000.00,0.17,24,2025-02-08 12:37:41,v1,1
AP20250215000044,C00001212,APPROVE,\N,27536.93,0.22,12,2025-02-15 10:57:35,v1,1
AP20250422000020,C00005258,APPROVE,\N,20000.00,0.17,18,2025-04-22 08:41:12,v1,1
AP20250502000021,C00004630,APPROVE,\N,8000.00,0.17,18,2025-05-02 12:11:59,v1,1
AP20250325000017,C00005607,REJECT,"R006,R004",\N,\N,\N,2025-03-25 12:29:45,v1,1
AP20250502000022,C00008368,REJECT,R008,\N,\N,\N,2025-05-02 12:46:58,v1,1
AP20250311000025,C00000465,APPROVE,\N,10000.00,0.11,12,2025-03-11 17:46:15,v1,1
AP20250321000027,C00002380,APPROVE,\N,28268.98,0.21,6,2025-03-21 12:36:07,v1,1
AP20250315000024,C00007697,APPROVE,\N,8000.00,0.17,12,2025-03-15 13:02:14,v1,1
AP20250616000027,C00002176,APPROVE,\N,8000.00,0.10,36,2025-06-16 21:19:42,v1,1
AP20250118000017,C00007283,APPROVE,\N,50000.00,0.11,6,2025-01-18 14:32:26,v1,1
AP20250621000023,C00005280,APPROVE,\N,5000.00,0.12,12,2025-06-21 09:47:23,v1,1
AP20250414000017,C00000295,APPROVE,\N,10000.00,0.15,24,2025-04-14 15:16:29,v1,1
AP20250404000018,C00009803,APPROVE,\N,5000.00,0.22,36,2025-04-04 20:13:53,v1,1
AP20250223000040,C00005573,APPROVE,\N,8892.83,0.23,36,2025-02-23 12:32:32,v1,1
AP20250517000027,C00007560,APPROVE,\N,1000.00,0.20,6,2025-05-17 16:05:53,v1,1
AP20250323000023,C00002975,REJECT,R008,\N,\N,\N,2025-03-23 14:07:40,v1,1
AP20250418000019,C00005540,APPROVE,\N,38527.31,0.18,18,2025-04-18 12:40:22,v1,1
AP20250317000024,C00006187,REJECT,R006,\N,\N,\N,2025-03-17 22:45:24,v1,1
AP20250301000033,C00007269,REJECT,R006,\N,\N,\N,2025-03-01 20:48:59,v1,1
AP20250411000024,C00007113,REJECT,"R006,R006",\N,\N,\N,2025-04-11 13:38:17,v1,1
AP20250409000021,C00004905,APPROVE,\N,23265.00,0.19,6,2025-04-09 13:04:19,v1,1
AP20250427000017,C00007368,REJECT,R006,\N,\N,\N,2025-04-27 12:16:20,v1,1
AP20250606000030,C00005189,APPROVE,\N,5000.00,0.22,12,2025-06-06 09:49:07,v1,1
